system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT05_188022_19970827_17,153200140,493.0,864.0,592.0,1117.0,422.0,2906.0,249.0,143.0
LT05_188022_19970827_20,153210130,355.0,517.0,438.0,1531.0,863.0,2879.0,428.0,113.0
LT05_188022_19970827_22,153220050,456.0,682.0,493.0,877.0,453.0,2911.0,248.0,64.0
LT05_188022_19970827_33,154210060,365.0,611.0,511.0,1404.0,839.0,2911.0,432.0,144.0
LT05_188022_19970827_35,154220070,550.0,715.0,595.0,1585.0,961.0,2874.0,475.0,124.0
LT05_188022_19970928_22,153220050,299.0,278.0,186.0,254.0,104.0,2821.0,36.0,26.0
LT05_188022_19970928_23,153220120,373.0,532.0,438.0,1169.0,571.0,2826.0,371.0,9.0
LT05_188022_19970928_24,153220190,424.0,586.0,482.0,655.0,182.0,2821.0,148.0,14.0
LT05_188022_19970928_36,154220080,612.0,717.0,683.0,1361.0,1140.0,2797.0,836.0,161.0
LT05_188022_19980510_17,153200140,393.0,498.0,386.0,1310.0,602.0,2893.0,247.0,324.0
LT05_188022_19980510_19,153210110,464.0,703.0,587.0,2057.0,1158.0,2897.0,523.0,273.0
LT05_188022_19980510_20,153210130,338.0,462.0,397.0,666.0,461.0,2897.0,286.0,288.0
LT05_188022_19980510_22,153220050,425.0,613.0,408.0,754.0,405.0,2883.0,207.0,258.0
LT05_188022_19980510_23,153220120,362.0,524.0,447.0,1132.0,655.0,2893.0,482.0,250.0
LT05_188022_19980510_25,153230040,401.0,550.0,399.0,928.0,353.0,2897.0,248.0,187.0
LT05_188022_19980510_26,153230050,466.0,684.0,539.0,2268.0,1282.0,2915.0,635.0,186.0
LT05_188022_19980510_34,154220020,480.0,744.0,583.0,3479.0,1662.0,2911.0,802.0,289.0
LT05_188022_19980510_36,154220080,501.0,585.0,453.0,874.0,346.0,2888.0,166.0,340.0
LT05_188022_19980510_37,154230020,449.0,539.0,423.0,594.0,242.0,2902.0,169.0,219.0
LT05_188022_19980611_17,153200140,833.0,853.0,632.0,1815.0,656.0,2888.0,276.0,448.0
LT05_188022_19980611_19,153210110,450.0,682.0,577.0,2634.0,1223.0,2924.0,545.0,281.0
LT05_188022_19980611_37,154230020,282.0,464.0,278.0,715.0,399.0,2942.0,205.0,82.0
LT05_188022_19980915_22,153220050,442.0,565.0,463.0,808.0,429.0,2811.0,372.0,126.0
LT05_188022_19980915_33,154210060,589.0,727.0,633.0,1936.0,895.0,2776.0,479.0,181.0
LT05_188022_19981001_17,153200140,417.0,533.0,327.0,702.0,413.0,2811.0,201.0,65.0
LT05_188022_19981001_19,153210110,505.0,656.0,579.0,2127.0,1188.0,2816.0,535.0,60.0
LT05_188022_19981001_20,153210130,344.0,397.0,324.0,582.0,409.0,2781.0,255.0,60.0
LT05_188022_19981001_22,153220050,410.0,464.0,428.0,981.0,448.0,2821.0,367.0,55.0
LT05_188022_19981001_23,153220120,493.0,584.0,370.0,922.0,485.0,2816.0,143.0,66.0
LT05_188022_19981001_24,153220190,400.0,564.0,456.0,742.0,522.0,2811.0,476.0,91.0
LT05_188022_19981001_33,154210060,402.0,434.0,350.0,1407.0,1009.0,2792.0,486.0,117.0
LT05_188022_19981001_34,154220020,480.0,775.0,620.0,3541.0,2024.0,2811.0,935.0,98.0
LT05_188022_19981001_35,154220070,447.0,574.0,461.0,1339.0,686.0,2816.0,313.0,103.0
LT05_188022_19981001_36,154220080,458.0,447.0,466.0,577.0,292.0,2802.0,87.0,97.0
LT05_188022_19981001_37,154230020,488.0,558.0,397.0,626.0,171.0,2802.0,198.0,114.0
LT05_188022_19990529_19,153210110,429.0,635.0,511.0,2070.0,1041.0,2915.0,532.0,67.0
