"oid";"SR_B1";"SR_B2";"SR_B3";"SR_B4";"SR_B5";"SR_B6";"SR_B7";"ST_B10";"date"
153230040;0,027095;0,0287175;0,03243;0,0181575;0,0187625;0,01098;0,0085325;292,71748694;2017-05-23
153230050;0,030725;0,0322925;0,0350975;0,025995;0,028415;0,0161225;0,01318;293,75998304;2017-05-23
154220020;0,00644249999999999;0,0121625;0,026325;0,0189825;0,041835;0,026655;0,020385;286,79405828;2017-05-23
153220120;0,02495;0,02517;0,0300925;0,022255;0,03012;0,0169475;0,01252;291,89716214;2017-06-08
153220190;0,00438;0,00866999999999998;0,02264;0,0112275;0,0234375;0,00974249999999999;0,00754250000000001;292,92256814;2017-06-08
153230040;0,00569999999999998;0,00581000000000001;0,00704749999999998;0,000832499999999986;0,00289500000000001;0,00245499999999998;0,0020425;291,24432032;2017-06-08
154220070;0,0167825;0,0212925;0,035235;0,0138675;0,012575;0,00781750000000001;0,00558999999999998;291,3092627;2017-06-08
154230020;0,0086425;0,011035;0,01967;0,0082025;0,0102375;0,00649749999999999;0,0050125;292,71748694;2017-06-08
153220050;0,0135375;0,0259125;0,0677125;0,0456025;0,045355;0,0293775;0,023465;292,3004885;2017-07-10
153220120;0,016425;0,0172225;0,024565;0,01549;0,0233;0,010595;0,006965;295,53393542;2017-07-10
153220190;0,00272999999999998;0,0101825;0,0255;0,01747;0,053165;0,0344375;0,0226675;293,3600747;2017-07-10
153230040;0,0185975;0,025005;0,0408725;0,0180475;0,0160125;0,00908249999999999;0,00627749999999999;295,01439638;2017-07-10
153230050;0,0178825;0,02451;0,038205;0,0182675;0,0233825;0,00946749999999999;0,007075;295,3767065;2017-07-10
154220020;0,0183225;0,019175;0,0233275;0,0156275;0,02374;0,0133175;0,00985249999999999;294,84007736;2017-07-10
154220070;0,0087525;0,017415;0,0368575;0,015105;0,012025;0,00536999999999999;0,00396749999999998;295,21947758;2017-07-10
154220080;0,00336249999999999;0,00765250000000001;0,0152975;0,00509499999999999;0,010045;0,00605749999999999;0,00405;295,59545978;2017-07-10
154230020;0,00600249999999999;0,010925;0,01835;0,0081475;0,009605;0,0053425;0,0028125;297,04811828;2017-07-10
153220050;0,00289500000000001;0,007295;0,0159025;0,009605;0,0129325;0,00806499999999999;0,006415;288,5406665;2017-09-28
153220120;0,0185425;0,021375;0,0279475;0,02275;0,0245375;0,013455;0,00922000000000001;287,45373614;2017-09-28
153220190;0,000997499999999985;0,00589249999999999;0,0177175;0,0102375;0,0229425;0,0156275;0,011915;287,55285872;2017-09-28
153230040;0,013015;0,0199175;0,0305875;0,0240975;0,044475;0,0258575;0,019615;283,66656998;2017-09-28
153230050;0,0215125;0,028635;0,04024;0,02836;0,039415;0,027315;0,019835;284,61336152;2017-09-28
154220020;0,0113375;0,01527;0,0254725;0,0178;0,0350425;0,0190375;0,0149125;288,0963239;2017-09-28
154230020;0,01329;0,0164525;0,0202475;0,0131525;0,019725;0,01065;0,00669;288,14417618;2017-09-28
153220050;0,000585000000000002;0,00603000000000001;0,01703;0,0102925;0,00955;0,00977;0,00724;282,34379624;2018-04-08
153220120;0,0271775;0,02671;0,0284425;0,02352;0,01736;0,009935;0,00677249999999999;281,4995453;2018-04-08
153220190;0,00974249999999999;0,0137025;0,0226125;0,0180475;0,018735;0,0140325;0,00963249999999999;283,54352126;2018-04-08
153230040;0,0193675;0,0215675;0,0247025;0,016205;0,01373;0,00767999999999999;0,0052325;284,6612138;2018-04-08
153230050;0,02187;0,022585;0,02506;0,0156825;0,0119425;0,00968749999999999;0,00627749999999999;285,35507186;2018-04-08
154220020;0,0184875;0,017965;0,02011;0,015215;0,01351;0,00952249999999999;0,00636;283,28716976;2018-04-08
154220070;0,015105;0,017965;0,0236575;0,016865;0,015325;0,0115025;0,00745999999999999;282,1831493;2018-04-08
154220080;0,01879;0,0227225;0,02726;0,02209;0,0205225;0,0148025;0,0119425;281,47561916;2018-04-08
154230020;0,016205;0,02022;0,0248125;0,0193125;0,0174975;0,013235;0,0106225;279,70166678;2018-04-08
153220050;0,00977;0,016755;0,031605;0,0223925;0,0276725;0,0177175;0,01307;295,42455878;2018-05-10
153220120;0,00941249999999999;0,01384;0,0220625;0,0166725;0,024455;0,014665;0,010815;293,9924084;2018-05-10
153230040;0,013455;0,018185;0,0263525;0,015325;0,0227775;0,014445;0,0106225;295,23314966;2018-05-10
153230050;0,017745;0,0219525;0,028965;0,01835;0,023685;0,01351;0,00979749999999999;297,00368402;2018-05-10
154220020;0,0084775;0,0118875;0,0194225;0,01274;0,0240975;0,0145275;0,010595;295,84155722;2018-05-10
154220070;0,00817499999999999;0,0162875;0,0293225;0,018405;0,03419;0,021265;0,014885;293,66427848;2018-05-10
154220080;0,0084775;0,016095;0,0280025;0,01934;0,04266;0,026765;0,019285;295,66040216;2018-05-10
154230020;0,004325;0,0168375;0,0327325;0,02407;0,03749;0,028525;0,023905;294,72386468;2018-05-10
153220190;0,00553499999999998;0,01615;0,0418625;0,0292675;0,0534125;0,022365;0,0150775;294,51878348;2018-05-26
153230040;0,01835;0,02253;0,03001;0,0180475;0,0341625;0,014225;0,00946749999999999;294,71702864;2018-05-26
153230050;0,02352;0,02671;0,03408;0,02088;0,033475;0,0149125;0,0100725;294,99047024;2018-05-26
154220070;0,01054;0,01615;0,034135;0,0160125;0,0448875;0,01835;0,01241;292,70381486;2018-05-26
154220080;0,0103475;0,017525;0,034575;0,022365;0,0684275;0,028195;0,0188175;293,05928894;2018-05-26
154230020;0,0173325;0,0198625;0,02638;0,0159025;0,0299275;0,01362;0,00963249999999999;295,0007243;2018-05-26
153220050;0,00726750000000001;0,01417;0,03496;0,02187;0,0298175;0,0267925;0,0214025;292,53633188;2018-06-27
153220120;0,0206875;0,0248125;0,0419725;0,031715;0,0610575;0,03837;0,02671;292,20820196;2018-06-27
153220190;0,012685;0,017195;0,0364175;0,0250875;0,0522025;0,0338875;0,0222825;296,56275944;2018-06-27
153230040;0,014225;0,02825;0,05278;0,03243;0,064935;0,04343;0,0298725;291,14861576;2018-06-27
154220020;0,010045;0,01439;0,027865;0,018185;0,0146925;0,00902749999999999;0,00721249999999998;297,4446086;2018-06-27
154220070;0,01659;0,02297;0,039415;0,0227225;0,03617;0,0309175;0,022255;294,03684266;2018-06-27
154220080;0,0136475;0,02077;0,0339975;0,0212925;0,0449425;0,03793;0,0279475;297,75906644;2018-06-27
154230020;0,0178825;0,02154;0,0299825;0,0177725;0,02297;0,0154075;0,01054;296,26880972;2018-06-27
153220120;0,0151875;0,0197525;0,0355925;0,023355;0,03287;0,0115025;0,00655249999999999;294,4025708;2018-08-30
153220190;0,000337499999999991;0,00715749999999998;0,02693;0,01384;0,051955;0,014115;0,00660749999999999;295,74927068;2018-08-30
153230040;0,012685;0,019505;0,029295;0,011255;0,01659;0,00586500000000001;0,004215;294,38206268;2018-08-30
153230050;0,019395;0,0243175;0,0321275;0,015875;0,0145275;0,00941249999999999;0,0053425;294,98705222;2018-08-30
154220020;0,0172225;0,0211275;0,032925;0,0203575;0,03936;0,0129325;0,00616749999999999;294,89134766;2018-08-30
154220070;0,00828499999999999;0,0197525;0,042055;0,0251975;0,0953775;0,0615525;0,041395;296,18677724;2018-08-30
154220080;0,0057825;0,01087;0,0210725;0,00855999999999998;0,0261875;0,00800999999999999;0,00451750000000001;294,94261796;2018-08-30
154230020;0,0133175;0,0198625;0,0276175;0,0178275;0,03056;0,00924749999999999;0,0048475;295,5305174;2018-08-30
153220050;0,00358249999999999;0,00828499999999999;0,016645;0,0117775;0,00767999999999999;0,0048475;0,0028675;287,61438308;2018-10-01
